Water.Year,QM,WY-QM,wyqm,Cal.Year,Month,QM start day,QM end day,Start.Date,End.Date,Days in QM
1952,36,1952-36,1952-36,1952,6,24,30,6/24/1952,6/30/1952,7
1952,37,1952-37,1952-37,1952,7,1,8,7/1/1952,7/8/1952,8
1952,38,1952-38,1952-38,1952,7,9,16,7/9/1952,7/16/1952,8
1952,39,1952-39,1952-39,1952,7,17,24,7/17/1952,7/24/1952,8
1952,40,1952-40,1952-40,1952,7,25,31,7/25/1952,7/31/1952,7
1952,41,1952-41,1952-41,1952,8,1,8,8/1/1952,8/8/1952,8
1952,42,1952-42,1952-42,1952,8,9,16,8/9/1952,8/16/1952,8
1952,43,1952-43,1952-43,1952,8,17,24,8/17/1952,8/24/1952,8
1952,44,1952-44,1952-44,1952,8,25,31,8/25/1952,8/31/1952,7
1952,45,1952-45,1952-45,1952,9,1,8,9/1/1952,9/8/1952,8
1952,46,1952-46,1952-46,1952,9,9,16,9/9/1952,9/16/1952,8
1952,47,1952-47,1952-47,1952,9,17,23,9/17/1952,9/23/1952,7
1952,48,1952-48,1952-48,1952,9,24,30,9/24/1952,9/30/1952,7
1953,1,1953-01,1953-1,1952,10,1,8,10/1/1952,10/8/1952,8
1953,2,1953-02,1953-2,1952,10,9,16,10/9/1952,10/16/1952,8
1953,3,1953-03,1953-3,1952,10,17,24,10/17/1952,10/24/1952,8
1953,4,1953-04,1953-4,1952,10,25,31,10/25/1952,10/31/1952,7
1953,5,1953-05,1953-5,1952,11,1,8,11/1/1952,11/8/1952,8
1953,6,1953-06,1953-6,1952,11,9,16,11/9/1952,11/16/1952,8
1953,7,1953-07,1953-7,1952,11,17,23,11/17/1952,11/23/1952,7
1953,8,1953-08,1953-8,1952,11,24,30,11/24/1952,11/30/1952,7
1953,9,1953-09,1953-9,1952,12,1,8,12/1/1952,12/8/1952,8
1953,10,1953-10,1953-10,1952,12,9,16,12/9/1952,12/16/1952,8
1953,11,1953-11,1953-11,1952,12,17,24,12/17/1952,12/24/1952,8
1953,12,1953-12,1953-12,1952,12,25,31,12/25/1952,12/31/1952,7
1953,13,1953-13,1953-13,1953,1,1,8,1/1/1953,1/8/1953,8
1953,14,1953-14,1953-14,1953,1,9,16,1/9/1953,1/16/1953,8
1953,15,1953-15,1953-15,1953,1,17,24,1/17/1953,1/24/1953,8
1953,16,1953-16,1953-16,1953,1,25,31,1/25/1953,1/31/1953,7
1953,17,1953-17,1953-17,1953,2,1,7,2/1/1953,2/7/1953,7
1953,18,1953-18,1953-18,1953,2,8,14,2/8/1953,2/14/1953,7
1953,19,1953-19,1953-19,1953,2,15,21,2/15/1953,2/21/1953,7
1953,20,1953-20,1953-20,1953,2,22,28,2/22/1953,2/28/1953,7
1953,21,1953-21,1953-21,1953,3,1,8,3/1/1953,3/8/1953,8
1953,22,1953-22,1953-22,1953,3,9,16,3/9/1953,3/16/1953,8
1953,23,1953-23,1953-23,1953,3,17,24,3/17/1953,3/24/1953,8
1953,24,1953-24,1953-24,1953,3,25,31,3/25/1953,3/31/1953,7
1953,25,1953-25,1953-25,1953,4,1,8,4/1/1953,4/8/1953,8
1953,26,1953-26,1953-26,1953,4,9,16,4/9/1953,4/16/1953,8
1953,27,1953-27,1953-27,1953,4,17,23,4/17/1953,4/23/1953,7
1953,28,1953-28,1953-28,1953,4,24,30,4/24/1953,4/30/1953,7
1953,29,1953-29,1953-29,1953,5,1,8,5/1/1953,5/8/1953,8
1953,30,1953-30,1953-30,1953,5,9,16,5/9/1953,5/16/1953,8
1953,31,1953-31,1953-31,1953,5,17,24,5/17/1953,5/24/1953,8
1953,32,1953-32,1953-32,1953,5,25,31,5/25/1953,5/31/1953,7
1953,33,1953-33,1953-33,1953,6,1,8,6/1/1953,6/8/1953,8
1953,34,1953-34,1953-34,1953,6,9,16,6/9/1953,6/16/1953,8
1953,35,1953-35,1953-35,1953,6,17,23,6/17/1953,6/23/1953,7
1953,36,1953-36,1953-36,1953,6,24,30,6/24/1953,6/30/1953,7
1953,37,1953-37,1953-37,1953,7,1,8,7/1/1953,7/8/1953,8
1953,38,1953-38,1953-38,1953,7,9,16,7/9/1953,7/16/1953,8
1953,39,1953-39,1953-39,1953,7,17,24,7/17/1953,7/24/1953,8
1953,40,1953-40,1953-40,1953,7,25,31,7/25/1953,7/31/1953,7
1953,41,1953-41,1953-41,1953,8,1,8,8/1/1953,8/8/1953,8
1953,42,1953-42,1953-42,1953,8,9,16,8/9/1953,8/16/1953,8
1953,43,1953-43,1953-43,1953,8,17,24,8/17/1953,8/24/1953,8
1953,44,1953-44,1953-44,1953,8,25,31,8/25/1953,8/31/1953,7
1953,45,1953-45,1953-45,1953,9,1,8,9/1/1953,9/8/1953,8
1953,46,1953-46,1953-46,1953,9,9,16,9/9/1953,9/16/1953,8
1953,47,1953-47,1953-47,1953,9,17,23,9/17/1953,9/23/1953,7
1953,48,1953-48,1953-48,1953,9,24,30,9/24/1953,9/30/1953,7
1954,1,1954-01,1954-1,1953,10,1,8,10/1/1953,10/8/1953,8
1954,2,1954-02,1954-2,1953,10,9,16,10/9/1953,10/16/1953,8
1954,3,1954-03,1954-3,1953,10,17,24,10/17/1953,10/24/1953,8
1954,4,1954-04,1954-4,1953,10,25,31,10/25/1953,10/31/1953,7
1954,5,1954-05,1954-5,1953,11,1,8,11/1/1953,11/8/1953,8
1954,6,1954-06,1954-6,1953,11,9,16,11/9/1953,11/16/1953,8
1954,7,1954-07,1954-7,1953,11,17,23,11/17/1953,11/23/1953,7
1954,8,1954-08,1954-8,1953,11,24,30,11/24/1953,11/30/1953,7
1954,9,1954-09,1954-9,1953,12,1,8,12/1/1953,12/8/1953,8
1954,10,1954-10,1954-10,1953,12,9,16,12/9/1953,12/16/1953,8
1954,11,1954-11,1954-11,1953,12,17,24,12/17/1953,12/24/1953,8
1954,12,1954-12,1954-12,1953,12,25,31,12/25/1953,12/31/1953,7
1954,13,1954-13,1954-13,1954,1,1,8,1/1/1954,1/8/1954,8
1954,14,1954-14,1954-14,1954,1,9,16,1/9/1954,1/16/1954,8
1954,15,1954-15,1954-15,1954,1,17,24,1/17/1954,1/24/1954,8
1954,16,1954-16,1954-16,1954,1,25,31,1/25/1954,1/31/1954,7
1954,17,1954-17,1954-17,1954,2,1,7,2/1/1954,2/7/1954,7
1954,18,1954-18,1954-18,1954,2,8,14,2/8/1954,2/14/1954,7
1954,19,1954-19,1954-19,1954,2,15,21,2/15/1954,2/21/1954,7
1954,20,1954-20,1954-20,1954,2,22,28,2/22/1954,2/28/1954,7
1954,21,1954-21,1954-21,1954,3,1,8,3/1/1954,3/8/1954,8
1954,22,1954-22,1954-22,1954,3,9,16,3/9/1954,3/16/1954,8
1954,23,1954-23,1954-23,1954,3,17,24,3/17/1954,3/24/1954,8
1954,24,1954-24,1954-24,1954,3,25,31,3/25/1954,3/31/1954,7
1954,25,1954-25,1954-25,1954,4,1,8,4/1/1954,4/8/1954,8
1954,26,1954-26,1954-26,1954,4,9,16,4/9/1954,4/16/1954,8
1954,27,1954-27,1954-27,1954,4,17,23,4/17/1954,4/23/1954,7
1954,28,1954-28,1954-28,1954,4,24,30,4/24/1954,4/30/1954,7
1954,29,1954-29,1954-29,1954,5,1,8,5/1/1954,5/8/1954,8
1954,30,1954-30,1954-30,1954,5,9,16,5/9/1954,5/16/1954,8
1954,31,1954-31,1954-31,1954,5,17,24,5/17/1954,5/24/1954,8
1954,32,1954-32,1954-32,1954,5,25,31,5/25/1954,5/31/1954,7
1954,33,1954-33,1954-33,1954,6,1,8,6/1/1954,6/8/1954,8
1954,34,1954-34,1954-34,1954,6,9,16,6/9/1954,6/16/1954,8
1954,35,1954-35,1954-35,1954,6,17,23,6/17/1954,6/23/1954,7
1954,36,1954-36,1954-36,1954,6,24,30,6/24/1954,6/30/1954,7
1954,37,1954-37,1954-37,1954,7,1,8,7/1/1954,7/8/1954,8
1954,38,1954-38,1954-38,1954,7,9,16,7/9/1954,7/16/1954,8
1954,39,1954-39,1954-39,1954,7,17,24,7/17/1954,7/24/1954,8
1954,40,1954-40,1954-40,1954,7,25,31,7/25/1954,7/31/1954,7
1954,41,1954-41,1954-41,1954,8,1,8,8/1/1954,8/8/1954,8
1954,42,1954-42,1954-42,1954,8,9,16,8/9/1954,8/16/1954,8
1954,43,1954-43,1954-43,1954,8,17,24,8/17/1954,8/24/1954,8
1954,44,1954-44,1954-44,1954,8,25,31,8/25/1954,8/31/1954,7
1954,45,1954-45,1954-45,1954,9,1,8,9/1/1954,9/8/1954,8
1954,46,1954-46,1954-46,1954,9,9,16,9/9/1954,9/16/1954,8
1954,47,1954-47,1954-47,1954,9,17,23,9/17/1954,9/23/1954,7
1954,48,1954-48,1954-48,1954,9,24,30,9/24/1954,9/30/1954,7
1955,1,1955-01,1955-1,1954,10,1,8,10/1/1954,10/8/1954,8
1955,2,1955-02,1955-2,1954,10,9,16,10/9/1954,10/16/1954,8
1955,3,1955-03,1955-3,1954,10,17,24,10/17/1954,10/24/1954,8
1955,4,1955-04,1955-4,1954,10,25,31,10/25/1954,10/31/1954,7
1955,5,1955-05,1955-5,1954,11,1,8,11/1/1954,11/8/1954,8
1955,6,1955-06,1955-6,1954,11,9,16,11/9/1954,11/16/1954,8
1955,7,1955-07,1955-7,1954,11,17,23,11/17/1954,11/23/1954,7
1955,8,1955-08,1955-8,1954,11,24,30,11/24/1954,11/30/1954,7
1955,9,1955-09,1955-9,1954,12,1,8,12/1/1954,12/8/1954,8
1955,10,1955-10,1955-10,1954,12,9,16,12/9/1954,12/16/1954,8
1955,11,1955-11,1955-11,1954,12,17,24,12/17/1954,12/24/1954,8
